Attendee ID,Company Name,Preference
91,Royal and Sun Alliance (RSA),15
91,iA Financial Group,15
91,Swiss Re,15
91,PartnerRe,15
91,CAAT Pension Plan,15
91,Milliman,15
91,The Co-operators,15
91,Foresters Financial,15
91,Wawanesa Insurance,15
91,Echelon Insurance / CCG Group,15
91,Intact Insurance,15
91,Northbridge Financial Corporation,15
91,Moody's Analytics,15
91,RSM Canada,15
91,Ontario Teachers' Pension Plan,15
320,Manulife,1
320,PartnerRe,2
320,Wawanesa Insurance,3
320,Intact Insurance,4
320,Canada Life,5
320,Deloitte,6
320,Desjardins,7
320,Munich Re,8
320,The Co-operators,9
320,Swiss Re,10
320,KPMG Canada,11
320,Echelon Insurance / CCG Group,12
320,Mercer Canada,13
320,RSM Canada,14
320,CAAT Pension Plan,15
320,Economical Insurance,15
320,Royal and Sun Alliance (RSA),15
320,iA Financial Group,15
320,Milliman,15
320,Foresters Financial,15
320,Normandin Beaudry,15
320,Northbridge Financial Corporation,15
320,Moody's Analytics,15
320,Ontario Teachers' Pension Plan,15
334,Deloitte,1
334,KPMG Canada,2
334,RSM Canada,3
334,Royal and Sun Alliance (RSA),4
334,Milliman,5
334,Desjardins,6
334,Munich Re,7
334,Swiss Re,8
334,Canada Life,9
334,Manulife,10
334,Mercer Canada,11
334,iA Financial Group,12
334,Moody's Analytics,13
334,PartnerRe,14
334,Wawanesa Insurance,15
334,Economical Insurance,15
334,CAAT Pension Plan,15
334,Foresters Financial,15
334,The Co-operators,15
334,Echelon Insurance / CCG Group,15
334,Normandin Beaudry,15
334,Intact Insurance,15
334,Northbridge Financial Corporation,15
334,Ontario Teachers' Pension Plan,15
62,Ontario Teachers' Pension Plan,1
62,Royal and Sun Alliance (RSA),2
62,Munich Re,3
62,Swiss Re,4
62,Deloitte,5
62,KPMG Canada,6
62,Milliman,7
62,Mercer Canada,8
62,Intact Insurance,9
62,Economical Insurance,10
62,Manulife,11
62,Canada Life,12
62,Moody's Analytics,13
62,PartnerRe,14
62,CAAT Pension Plan,15
62,Foresters Financial,15
62,The Co-operators,15
62,Wawanesa Insurance,15
62,Echelon Insurance / CCG Group,15
62,Desjardins,15
62,Normandin Beaudry,15
62,Northbridge Financial Corporation,15
62,iA Financial Group,15
62,RSM Canada,15
408,Intact Insurance,1
408,The Co-operators,2
408,Wawanesa Insurance,3
408,Deloitte,4
408,Munich Re,5
408,Swiss Re,6
408,Manulife,7
408,Economical Insurance,8
408,Canada Life,9
408,PartnerRe,10
408,RSM Canada,11
408,Normandin Beaudry,12
408,Northbridge Financial Corporation,13
408,iA Financial Group,14
408,Ontario Teachers' Pension Plan,15
408,Royal and Sun Alliance (RSA),15
408,KPMG Canada,15
408,CAAT Pension Plan,15
408,Milliman,15
408,Foresters Financial,15
408,Mercer Canada,15
408,Echelon Insurance / CCG Group,15
408,Desjardins,15
408,Moody's Analytics,15
27,Royal and Sun Alliance (RSA),1
27,The Co-operators,2
27,Intact Insurance,3
27,Northbridge Financial Corporation,4
27,KPMG Canada,5
27,Desjardins,6
27,Canada Life,7
27,Echelon Insurance / CCG Group,8
27,Manulife,9
27,Munich Re,10
27,Mercer Canada,11
27,Swiss Re,12
27,iA Financial Group,13
27,Foresters Financial,14
27,RSM Canada,15
27,Deloitte,15
27,Economical Insurance,15
27,PartnerRe,15
27,CAAT Pension Plan,15
27,Milliman,15
27,Wawanesa Insurance,15
27,Normandin Beaudry,15
27,Moody's Analytics,15
27,Ontario Teachers' Pension Plan,15
60,Intact Insurance,1
60,KPMG Canada,2
60,Deloitte,3
60,iA Financial Group,4
60,The Co-operators,5
60,Swiss Re,6
60,PartnerRe,7
60,Wawanesa Insurance,8
60,Northbridge Financial Corporation,9
60,Desjardins,10
60,Manulife,11
60,Munich Re,12
60,Economical Insurance,13
60,Normandin Beaudry,14
60,Ontario Teachers' Pension Plan,15
60,Royal and Sun Alliance (RSA),15
60,CAAT Pension Plan,15
60,Milliman,15
60,Foresters Financial,15
60,Mercer Canada,15
60,Echelon Insurance / CCG Group,15
60,Canada Life,15
60,Moody's Analytics,15
60,RSM Canada,15
402,Deloitte,1
402,KPMG Canada,2
402,Munich Re,3
402,Swiss Re,4
402,Intact Insurance,5
402,Desjardins,6
402,Economical Insurance,7
402,Manulife,8
402,Moody's Analytics,9
402,Milliman,10
402,PartnerRe,11
402,Royal and Sun Alliance (RSA),12
402,Wawanesa Insurance,13
402,Normandin Beaudry,14
402,Foresters Financial,15
402,CAAT Pension Plan,15
402,The Co-operators,15
402,Mercer Canada,15
402,Echelon Insurance / CCG Group,15
402,Canada Life,15
402,Northbridge Financial Corporation,15
402,iA Financial Group,15
402,RSM Canada,15
402,Ontario Teachers' Pension Plan,15
388,Canada Life,1
388,Manulife,2
388,Munich Re,3
388,iA Financial Group,4
388,Foresters Financial,5
388,Deloitte,6
388,Desjardins,7
388,CAAT Pension Plan,8
388,Mercer Canada,9
388,Intact Insurance,10
388,PartnerRe,11
388,Swiss Re,12
388,Economical Insurance,13
388,Ontario Teachers' Pension Plan,14
388,The Co-operators,15
388,Royal and Sun Alliance (RSA),15
388,KPMG Canada,15
388,Milliman,15
388,Wawanesa Insurance,15
388,Echelon Insurance / CCG Group,15
388,Normandin Beaudry,15
388,Northbridge Financial Corporation,15
388,Moody's Analytics,15
388,RSM Canada,15
213,Milliman,1
213,KPMG Canada,2
213,Mercer Canada,3
213,Deloitte,4
213,Normandin Beaudry,5
213,Manulife,6
213,Canada Life,7
213,PartnerRe,8
213,RSM Canada,9
213,Desjardins,10
213,Foresters Financial,11
213,Wawanesa Insurance,12
213,CAAT Pension Plan,13
213,The Co-operators,14
213,Munich Re,15
213,Economical Insurance,15
213,Royal and Sun Alliance (RSA),15
213,iA Financial Group,15
213,Swiss Re,15
213,Echelon Insurance / CCG Group,15
213,Intact Insurance,15
213,Northbridge Financial Corporation,15
213,Moody's Analytics,15
213,Ontario Teachers' Pension Plan,15
245,Milliman,1
245,Deloitte,2
245,Intact Insurance,3
245,Manulife,4
245,KPMG Canada,5
245,Ontario Teachers' Pension Plan,6
245,Swiss Re,7
245,Munich Re,8
245,Moody's Analytics,9
245,Mercer Canada,10
245,Foresters Financial,11
245,Desjardins,12
245,CAAT Pension Plan,13
245,Canada Life,14
245,Economical Insurance,15
245,Royal and Sun Alliance (RSA),15
245,PartnerRe,15
245,The Co-operators,15
245,Wawanesa Insurance,15
245,Echelon Insurance / CCG Group,15
245,Normandin Beaudry,15
245,Northbridge Financial Corporation,15
245,iA Financial Group,15
245,RSM Canada,15
505,Wawanesa Insurance,1
505,Intact Insurance,2
505,The Co-operators,3
505,Economical Insurance,4
505,Foresters Financial,5
505,Munich Re,6
505,Royal and Sun Alliance (RSA),7
505,CAAT Pension Plan,8
505,Deloitte,9
505,Desjardins,10
505,Echelon Insurance / CCG Group,11
505,Swiss Re,12
505,Northbridge Financial Corporation,13
505,KPMG Canada,14
505,PartnerRe,15
505,iA Financial Group,15
505,Milliman,15
505,Mercer Canada,15
505,Manulife,15
505,Normandin Beaudry,15
505,Canada Life,15
505,Moody's Analytics,15
505,RSM Canada,15
505,Ontario Teachers' Pension Plan,15
104,Wawanesa Insurance,1
104,Canada Life,2
104,Manulife,3
104,Mercer Canada,4
104,KPMG Canada,5
104,Munich Re,6
104,Intact Insurance,7
104,Deloitte,15
104,Economical Insurance,15
104,Royal and Sun Alliance (RSA),15
104,iA Financial Group,15
104,Swiss Re,15
104,PartnerRe,15
104,CAAT Pension Plan,15
104,Milliman,15
104,The Co-operators,15
104,Foresters Financial,15
104,Echelon Insurance / CCG Group,15
104,Desjardins,15
104,Normandin Beaudry,15
104,Northbridge Financial Corporation,15
104,Moody's Analytics,15
104,RSM Canada,15
104,Ontario Teachers' Pension Plan,15
54,Mercer Canada,1
54,iA Financial Group,2
54,Manulife,3
54,Normandin Beaudry,4
54,Deloitte,5
54,Intact Insurance,6
54,Desjardins,7
54,Echelon Insurance / CCG Group,8
54,PartnerRe,9
54,Economical Insurance,10
54,Munich Re,11
54,Milliman,12
54,Royal and Sun Alliance (RSA),13
54,Swiss Re,14
54,CAAT Pension Plan,15
54,KPMG Canada,15
54,Foresters Financial,15
54,The Co-operators,15
54,Wawanesa Insurance,15
54,Canada Life,15
54,Northbridge Financial Corporation,15
54,Moody's Analytics,15
54,RSM Canada,15
54,Ontario Teachers' Pension Plan,15
76,Milliman,1
76,CAAT Pension Plan,2
76,Wawanesa Insurance,3
76,Ontario Teachers' Pension Plan,4
76,Deloitte,5
76,Canada Life,6
76,KPMG Canada,7
76,Swiss Re,8
76,Munich Re,9
76,Economical Insurance,10
76,PartnerRe,11
76,The Co-operators,12
76,Royal and Sun Alliance (RSA),13
76,Northbridge Financial Corporation,14
76,Moody's Analytics,15
76,Foresters Financial,15
76,Mercer Canada,15
76,Manulife,15
76,Desjardins,15
76,Normandin Beaudry,15
76,Echelon Insurance / CCG Group,15
76,Intact Insurance,15
76,iA Financial Group,15
76,RSM Canada,15
52,Canada Life,1
52,Deloitte,2
52,Manulife,3
52,Mercer Canada,4
52,Wawanesa Insurance,5
52,RSM Canada,6
52,Royal and Sun Alliance (RSA),7
52,The Co-operators,8
52,Normandin Beaudry,9
52,Foresters Financial,10
52,Economical Insurance,11
52,Desjardins,12
52,CAAT Pension Plan,13
52,Munich Re,14
52,Northbridge Financial Corporation,15
52,iA Financial Group,15
52,Swiss Re,15
52,PartnerRe,15
52,KPMG Canada,15
52,Milliman,15
52,Echelon Insurance / CCG Group,15
52,Intact Insurance,15
52,Moody's Analytics,15
52,Ontario Teachers' Pension Plan,15
383,Manulife,1
383,Canada Life,2
383,Desjardins,3
383,iA Financial Group,4
383,Normandin Beaudry,5
383,The Co-operators,6
383,Mercer Canada,7
383,Munich Re,8
383,Intact Insurance,9
383,Echelon Insurance / CCG Group,10
383,PartnerRe,11
383,Swiss Re,12
383,Wawanesa Insurance,13
383,Milliman,14
383,KPMG Canada,15
383,Deloitte,15
383,Economical Insurance,15
383,Royal and Sun Alliance (RSA),15
383,CAAT Pension Plan,15
383,Foresters Financial,15
383,Northbridge Financial Corporation,15
383,Moody's Analytics,15
383,RSM Canada,15
383,Ontario Teachers' Pension Plan,15
26,KPMG Canada,1
26,Deloitte,2
26,Mercer Canada,3
26,Milliman,4
26,Northbridge Financial Corporation,5
26,Intact Insurance,6
26,Normandin Beaudry,7
26,Foresters Financial,8
26,Wawanesa Insurance,9
26,The Co-operators,10
26,Moody's Analytics,11
26,CAAT Pension Plan,12
26,Economical Insurance,13
26,RSM Canada,14
26,Ontario Teachers' Pension Plan,15
26,Royal and Sun Alliance (RSA),15
26,Swiss Re,15
26,PartnerRe,15
26,Manulife,15
26,Desjardins,15
26,Echelon Insurance / CCG Group,15
26,Munich Re,15
26,Canada Life,15
26,iA Financial Group,15
595,Intact Insurance,1
595,Munich Re,2
595,Swiss Re,3
595,The Co-operators,4
595,Royal and Sun Alliance (RSA),5
595,Canada Life,6
595,Manulife,7
595,Wawanesa Insurance,8
595,Economical Insurance,9
595,Deloitte,10
595,KPMG Canada,11
595,Desjardins,12
595,Northbridge Financial Corporation,13
595,PartnerRe,14
595,Foresters Financial,15
595,iA Financial Group,15
595,CAAT Pension Plan,15
595,Milliman,15
595,Mercer Canada,15
595,Echelon Insurance / CCG Group,15
595,Normandin Beaudry,15
595,Moody's Analytics,15
595,RSM Canada,15
595,Ontario Teachers' Pension Plan,15
593,The Co-operators,1
593,Manulife,2
593,Desjardins,3
593,Canada Life,4
593,Ontario Teachers' Pension Plan,5
593,Wawanesa Insurance,6
593,Moody's Analytics,7
593,Intact Insurance,8
593,iA Financial Group,9
593,Foresters Financial,10
593,Economical Insurance,11
593,Echelon Insurance / CCG Group,12
593,Deloitte,13
593,CAAT Pension Plan,14
593,KPMG Canada,15
593,Royal and Sun Alliance (RSA),15
593,Swiss Re,15
593,PartnerRe,15
593,Milliman,15
593,Mercer Canada,15
593,Normandin Beaudry,15
593,Munich Re,15
593,Northbridge Financial Corporation,15
593,RSM Canada,15
101,Wawanesa Insurance,1
101,Intact Insurance,2
101,Desjardins,3
101,Deloitte,4
101,Milliman,5
101,Munich Re,6
101,Manulife,8
101,iA Financial Group,9
101,Swiss Re,10
101,The Co-operators,11
101,Ontario Teachers' Pension Plan,12
101,KPMG Canada,13
101,PartnerRe,14
101,Canada Life,15
101,Economical Insurance,15
101,Royal and Sun Alliance (RSA),15
101,CAAT Pension Plan,15
101,Foresters Financial,15
101,Mercer Canada,15
101,Echelon Insurance / CCG Group,15
101,Normandin Beaudry,15
101,Northbridge Financial Corporation,15
101,Moody's Analytics,15
101,RSM Canada,15
261,Moody's Analytics,1
261,Manulife,2
261,Desjardins,3
261,Swiss Re,4
261,Milliman,5
261,Wawanesa Insurance,7
261,RSM Canada,8
261,iA Financial Group,9
261,Ontario Teachers' Pension Plan,10
261,Deloitte,11
261,Canada Life,12
261,Northbridge Financial Corporation,14
261,Normandin Beaudry,15
261,Economical Insurance,15
261,Royal and Sun Alliance (RSA),15
261,PartnerRe,15
261,KPMG Canada,15
261,CAAT Pension Plan,15
261,Foresters Financial,15
261,The Co-operators,15
261,Mercer Canada,15
261,Echelon Insurance / CCG Group,15
261,Munich Re,15
261,Intact Insurance,15
285,Canada Life,1
285,Manulife,2
285,Intact Insurance,3
285,Desjardins,4
285,iA Financial Group,5
285,Munich Re,6
285,Deloitte,7
285,PartnerRe,8
285,The Co-operators,9
285,Royal and Sun Alliance (RSA),10
285,KPMG Canada,11
285,Mercer Canada,12
285,Ontario Teachers' Pension Plan,13
285,Echelon Insurance / CCG Group,14
285,Swiss Re,15
285,Economical Insurance,15
285,CAAT Pension Plan,15
285,Milliman,15
285,Foresters Financial,15
285,Wawanesa Insurance,15
285,Normandin Beaudry,15
285,Northbridge Financial Corporation,15
285,Moody's Analytics,15
285,RSM Canada,15
636,Normandin Beaudry,1
636,Desjardins,2
636,Echelon Insurance / CCG Group,3
636,Intact Insurance,4
636,Manulife,5
636,Mercer Canada,6
636,Milliman,7
636,The Co-operators,8
636,iA Financial Group,9
636,Royal and Sun Alliance (RSA),10
636,Northbridge Financial Corporation,11
636,Economical Insurance,12
636,KPMG Canada,13
636,Moody's Analytics,14
636,Deloitte,15
636,Swiss Re,15
636,PartnerRe,15
636,CAAT Pension Plan,15
636,Foresters Financial,15
636,Wawanesa Insurance,15
636,Munich Re,15
636,Canada Life,15
636,RSM Canada,15
636,Ontario Teachers' Pension Plan,15
267,Intact Insurance,1
267,KPMG Canada,2
267,Munich Re,3
267,Manulife,4
267,Wawanesa Insurance,5
267,Deloitte,6
267,Swiss Re,7
267,Canada Life,8
267,Economical Insurance,9
267,Milliman,10
267,PartnerRe,11
267,Desjardins,12
267,Moody's Analytics,13
267,RSM Canada,14
267,iA Financial Group,15
267,Royal and Sun Alliance (RSA),15
267,CAAT Pension Plan,15
267,Foresters Financial,15
267,The Co-operators,15
267,Mercer Canada,15
267,Echelon Insurance / CCG Group,15
267,Normandin Beaudry,15
267,Northbridge Financial Corporation,15
267,Ontario Teachers' Pension Plan,15
538,Intact Insurance,1
538,Desjardins,2
538,iA Financial Group,3
538,Deloitte,4
538,Manulife,5
538,Echelon Insurance / CCG Group,6
538,Mercer Canada,7
538,Munich Re,8
538,Milliman,9
538,Northbridge Financial Corporation,10
538,KPMG Canada,11
538,Moody's Analytics,12
538,Canada Life,13
538,Economical Insurance,14
538,CAAT Pension Plan,15
538,Royal and Sun Alliance (RSA),15
538,Swiss Re,15
538,PartnerRe,15
538,Foresters Financial,15
538,The Co-operators,15
538,Wawanesa Insurance,15
538,Normandin Beaudry,15
538,RSM Canada,15
538,Ontario Teachers' Pension Plan,15
259,Canada Life,1
259,Manulife,2
259,Deloitte,3
259,Desjardins,4
259,Intact Insurance,5
259,The Co-operators,6
259,Foresters Financial,7
259,Munich Re,8
259,Swiss Re,9
259,Mercer Canada,10
259,KPMG Canada,11
259,Economical Insurance,12
259,Normandin Beaudry,13
259,PartnerRe,14
259,Northbridge Financial Corporation,15
259,Royal and Sun Alliance (RSA),15
259,iA Financial Group,15
259,CAAT Pension Plan,15
259,Milliman,15
259,Wawanesa Insurance,15
259,Echelon Insurance / CCG Group,15
259,Moody's Analytics,15
259,RSM Canada,15
259,Ontario Teachers' Pension Plan,15
69,Canada Life,1
69,Intact Insurance,2
69,Desjardins,3
69,Manulife,4
69,Munich Re,5
69,PartnerRe,6
69,Wawanesa Insurance,7
69,The Co-operators,8
69,Deloitte,9
69,iA Financial Group,10
69,Mercer Canada,11
69,Swiss Re,12
69,RSM Canada,13
69,KPMG Canada,14
69,Ontario Teachers' Pension Plan,15
69,Economical Insurance,15
69,Royal and Sun Alliance (RSA),15
69,CAAT Pension Plan,15
69,Milliman,15
69,Foresters Financial,15
69,Echelon Insurance / CCG Group,15
69,Normandin Beaudry,15
69,Northbridge Financial Corporation,15
69,Moody's Analytics,15
521,Canada Life,1
521,Wawanesa Insurance,2
521,Manulife,3
521,Swiss Re,4
521,Munich Re,5
521,iA Financial Group,6
521,Mercer Canada,7
521,Moody's Analytics,8
521,PartnerRe,9
521,Foresters Financial,10
521,Desjardins,11
521,Northbridge Financial Corporation,12
521,Intact Insurance,13
521,Milliman,14
521,The Co-operators,15
521,Deloitte,15
521,Economical Insurance,15
521,Royal and Sun Alliance (RSA),15
521,KPMG Canada,15
521,CAAT Pension Plan,15
521,Echelon Insurance / CCG Group,15
521,Normandin Beaudry,15
521,RSM Canada,15
521,Ontario Teachers' Pension Plan,15
12,Canada Life,1
12,Intact Insurance,2
12,Manulife,3
12,Mercer Canada,4
12,Milliman,5
12,Munich Re,6
12,PartnerRe,7
12,Royal and Sun Alliance (RSA),8
12,RSM Canada,9
12,Swiss Re,10
12,Wawanesa Insurance,11
12,Deloitte,12
12,Desjardins,13
12,Economical Insurance,14
12,Foresters Financial,15
12,iA Financial Group,15
12,KPMG Canada,15
12,CAAT Pension Plan,15
12,The Co-operators,15
12,Echelon Insurance / CCG Group,15
12,Normandin Beaudry,15
12,Northbridge Financial Corporation,15
12,Moody's Analytics,15
12,Ontario Teachers' Pension Plan,15
303,Canada Life,1
303,Manulife,2
303,Deloitte,3
303,Desjardins,4
303,Economical Insurance,5
303,Foresters Financial,6
303,KPMG Canada,7
303,Mercer Canada,8
303,The Co-operators,9
303,Wawanesa Insurance,10
303,Royal and Sun Alliance (RSA),11
303,RSM Canada,12
303,CAAT Pension Plan,13
303,Munich Re,14
303,PartnerRe,15
303,iA Financial Group,15
303,Swiss Re,15
303,Milliman,15
303,Echelon Insurance / CCG Group,15
303,Normandin Beaudry,15
303,Intact Insurance,15
303,Northbridge Financial Corporation,15
303,Moody's Analytics,15
303,Ontario Teachers' Pension Plan,15
116,Milliman,1
116,Swiss Re,2
116,Munich Re,3
116,Manulife,4
116,Moody's Analytics,5
116,Intact Insurance,6
116,Deloitte,7
116,Wawanesa Insurance,8
116,PartnerRe,9
116,Canada Life,10
116,KPMG Canada,11
116,CAAT Pension Plan,12
116,Desjardins,13
116,Economical Insurance,14
116,iA Financial Group,15
116,Royal and Sun Alliance (RSA),15
116,Foresters Financial,15
116,The Co-operators,15
116,Mercer Canada,15
116,Echelon Insurance / CCG Group,15
116,Normandin Beaudry,15
116,Northbridge Financial Corporation,15
116,RSM Canada,15
116,Ontario Teachers' Pension Plan,15
143,Wawanesa Insurance,1
143,Swiss Re,2
143,Canada Life,3
143,Deloitte,4
143,CAAT Pension Plan,5
143,Echelon Insurance / CCG Group,6
143,Economical Insurance,7
143,Foresters Financial,8
143,iA Financial Group,9
143,Intact Insurance,10
143,KPMG Canada,11
143,Manulife,12
143,Mercer Canada,13
143,Milliman,14
143,Moody's Analytics,15
143,Royal and Sun Alliance (RSA),15
143,PartnerRe,15
143,The Co-operators,15
143,Desjardins,15
143,Normandin Beaudry,15
143,Munich Re,15
143,Northbridge Financial Corporation,15
143,RSM Canada,15
143,Ontario Teachers' Pension Plan,15
219,KPMG Canada,1
219,Deloitte,2
219,Manulife,3
219,Mercer Canada,4
219,Munich Re,5
219,PartnerRe,6
219,Swiss Re,7
219,Intact Insurance,8
219,Royal and Sun Alliance (RSA),9
219,iA Financial Group,10
219,Desjardins,11
219,Canada Life,12
219,RSM Canada,13
219,Northbridge Financial Corporation,14
219,Economical Insurance,15
219,CAAT Pension Plan,15
219,Milliman,15
219,The Co-operators,15
219,Foresters Financial,15
219,Wawanesa Insurance,15
219,Echelon Insurance / CCG Group,15
219,Normandin Beaudry,15
219,Moody's Analytics,15
219,Ontario Teachers' Pension Plan,15
123,Manulife,1
123,Deloitte,2
123,Economical Insurance,3
123,Foresters Financial,4
123,KPMG Canada,5
123,Mercer Canada,6
123,Munich Re,7
123,Northbridge Financial Corporation,8
123,PartnerRe,9
123,Swiss Re,10
123,Wawanesa Insurance,11
123,Moody's Analytics,12
123,iA Financial Group,13
123,Royal and Sun Alliance (RSA),14
123,Canada Life,15
123,CAAT Pension Plan,15
123,Milliman,15
123,The Co-operators,15
123,Echelon Insurance / CCG Group,15
123,Desjardins,15
123,Normandin Beaudry,15
123,Intact Insurance,15
123,RSM Canada,15
123,Ontario Teachers' Pension Plan,15
61,Desjardins,1
61,Economical Insurance,2
61,Munich Re,3
61,Northbridge Financial Corporation,4
61,The Co-operators,5
61,Wawanesa Insurance,6
61,Deloitte,15
61,Royal and Sun Alliance (RSA),15
61,iA Financial Group,15
61,Swiss Re,15
61,PartnerRe,15
61,KPMG Canada,15
61,CAAT Pension Plan,15
61,Milliman,15
61,Foresters Financial,15
61,Mercer Canada,15
61,Manulife,15
61,Echelon Insurance / CCG Group,15
61,Normandin Beaudry,15
61,Canada Life,15
61,Intact Insurance,15
61,Moody's Analytics,15
61,RSM Canada,15
61,Ontario Teachers' Pension Plan,15
584,Canada Life,1
584,Intact Insurance,2
584,Manulife,3
584,Mercer Canada,4
584,Milliman,5
584,Moody's Analytics,6
584,Munich Re,7
584,Economical Insurance,8
584,PartnerRe,9
584,The Co-operators,10
584,Swiss Re,11
584,Desjardins,12
584,Deloitte,13
584,RSM Canada,14
584,Northbridge Financial Corporation,15
584,Royal and Sun Alliance (RSA),15
584,KPMG Canada,15
584,CAAT Pension Plan,15
584,Foresters Financial,15
584,Wawanesa Insurance,15
584,Echelon Insurance / CCG Group,15
584,Normandin Beaudry,15
584,iA Financial Group,15
584,Ontario Teachers' Pension Plan,15
625,Mercer Canada,1
625,Manulife,2
625,KPMG Canada,3
625,Intact Insurance,4
625,The Co-operators,5
625,Wawanesa Insurance,6
625,Canada Life,7
625,Deloitte,8
625,Desjardins,9
625,Munich Re,10
625,Moody's Analytics,11
625,Ontario Teachers' Pension Plan,12
625,RSM Canada,13
625,CAAT Pension Plan,14
625,Swiss Re,15
625,Economical Insurance,15
625,Royal and Sun Alliance (RSA),15
625,PartnerRe,15
625,Milliman,15
625,Foresters Financial,15
625,Echelon Insurance / CCG Group,15
625,Normandin Beaudry,15
625,Northbridge Financial Corporation,15
625,iA Financial Group,15
336,Wawanesa Insurance,1
336,Desjardins,2
336,Deloitte,3
336,Canada Life,4
336,CAAT Pension Plan,5
336,Swiss Re,6
336,Ontario Teachers' Pension Plan,7
336,Munich Re,8
336,Mercer Canada,9
336,Manulife,10
336,iA Financial Group,11
336,Intact Insurance,12
336,Moody's Analytics,13
336,KPMG Canada,14
336,PartnerRe,15
336,Economical Insurance,15
336,Royal and Sun Alliance (RSA),15
336,Milliman,15
336,Foresters Financial,15
336,The Co-operators,15
336,Echelon Insurance / CCG Group,15
336,Normandin Beaudry,15
336,Northbridge Financial Corporation,15
336,RSM Canada,15
70,Manulife,1
70,Munich Re,2
70,Swiss Re,3
70,Royal and Sun Alliance (RSA),4
70,Mercer Canada,5
70,Intact Insurance,6
70,Canada Life,7
70,Wawanesa Insurance,8
70,RSM Canada,9
70,Economical Insurance,10
70,Desjardins,11
70,Moody's Analytics,12
70,Northbridge Financial Corporation,13
70,Ontario Teachers' Pension Plan,14
70,Deloitte,15
70,PartnerRe,15
70,KPMG Canada,15
70,CAAT Pension Plan,15
70,Milliman,15
70,The Co-operators,15
70,Foresters Financial,15
70,Echelon Insurance / CCG Group,15
70,Normandin Beaudry,15
70,iA Financial Group,15
149,Canada Life,1
149,Manulife,2
149,Moody's Analytics,3
149,Swiss Re,4
149,Desjardins,5
149,Intact Insurance,6
149,Deloitte,7
149,Munich Re,8
149,CAAT Pension Plan,9
149,Echelon Insurance / CCG Group,10
149,Economical Insurance,11
149,Foresters Financial,12
149,iA Financial Group,13
149,Mercer Canada,14
149,Milliman,15
149,Royal and Sun Alliance (RSA),15
149,PartnerRe,15
149,KPMG Canada,15
149,The Co-operators,15
149,Wawanesa Insurance,15
149,Normandin Beaudry,15
149,Northbridge Financial Corporation,15
149,RSM Canada,15
149,Ontario Teachers' Pension Plan,15
112,Swiss Re,1
112,PartnerRe,2
112,Munich Re,3
112,Milliman,4
112,Manulife,5
112,Mercer Canada,6
112,Deloitte,7
112,Canada Life,8
112,Foresters Financial,9
112,iA Financial Group,10
112,KPMG Canada,11
112,Normandin Beaudry,12
112,The Co-operators,13
112,Wawanesa Insurance,14
112,CAAT Pension Plan,15
112,Economical Insurance,15
112,Royal and Sun Alliance (RSA),15
112,Echelon Insurance / CCG Group,15
112,Desjardins,15
112,Intact Insurance,15
112,Northbridge Financial Corporation,15
112,Moody's Analytics,15
112,RSM Canada,15
112,Ontario Teachers' Pension Plan,15
20,Intact Insurance,1
20,Wawanesa Insurance,2
20,Desjardins,3
20,Royal and Sun Alliance (RSA),4
20,Economical Insurance,5
20,The Co-operators,6
20,KPMG Canada,7
20,Deloitte,8
20,Milliman,9
20,Manulife,10
20,Canada Life,11
20,Swiss Re,12
20,Munich Re,13
